Region,Location,Item,Price
Johto,All Marts (5 Badges),Ultra Ball,1200 PokéYen
Johto,All Marts (5 Badges),Max Repel,900 PokéYen
Johto,All Marts (5 Badges),X Attack,2000 PokéYen
Johto,All Marts (5 Badges),X Special,2000 PokéYen
Johto,All Marts (5 Badges),X Defend,2500 PokéYen
Johto,All Marts (5 Badges),X Sp. Def,2500 PokéYen
Johto,All Marts (5 Badges),X Speed,2000 PokéYen
Johto,All Marts (5 Badges),X Accuracy,1500 PokéYen
Johto,All Marts (5 Badges),Dire Hit,1500 PokéYen
Johto,All Marts (5 Badges),Guard Spec,1500 PokéYen
