pokemon_id,type,region_id,region_name,base_location,morning,day,night,season,min_level,max_level,rarity
1,Grass,0,Kanto,Viridian Forest,False,False,False,,10,10,Lure
2,Grass,0,Kanto,Route 5,False,False,False,,19,19,Lure
4,Grass,0,Kanto,Route 3,False,False,False,,11,11,Lure
5,Cave,0,Kanto,Rock Tunnel,False,False,False,,20,20,Lure
7,Grass,0,Kanto,Route 24,False,False,False,,17,17,Lure
8,Cave,0,Kanto,Seafoam Islands,False,False,False,,40,40,Lure
10,Grass,0,Kanto,Pattern Bush,False,False,False,,50,52,Uncommon
10,Grass,0,Kanto,Route 2,False,False,False,,3,5,Rare
10,Grass,0,Kanto,Route 24,False,False,False,,11,12,Uncommon
10,Grass,0,Kanto,Route 25,False,False,False,,11,12,Uncommon
10,Grass,0,Kanto,Viridian Forest,False,False,False,,5,7,Common
10,Cave,4,Johto,Ilex Forest,True,True,False,,12,13,Common
10,Grass,4,Johto,National Park,True,True,False,Season0,16,18,Uncommon
10,Grass,4,Johto,National Park,True,True,False,Season1,16,18,Uncommon
10,Grass,4,Johto,National Park,True,True,False,Season2,16,18,Uncommon
10,Grass,4,Johto,National Park,True,True,False,Season3,16,18,Uncommon
10,Grass,4,Johto,Route 30,True,True,False,,3,4,Common
10,Grass,4,Johto,Route 31,True,True,False,Season0,4,7,Common
10,Grass,4,Johto,Route 31,True,True,False,Season1,4,7,Common
10,Grass,4,Johto,Route 31,True,True,False,Season2,4,7,Common
10,Grass,4,Johto,Route 31,True,True,False,Season3,4,7,Common
11,Grass,0,Kanto,Pattern Bush,False,False,False,,48,50,Horde
11,Grass,0,Kanto,Pattern Bush,False,False,False,,50,52,Uncommon
11,Grass,0,Kanto,Route 24,False,False,False,,12,12,Rare
11,Grass,0,Kanto,Route 25,False,False,False,,12,12,Rare
11,Grass,0,Kanto,Route 25,False,False,False,,12,12,Rare
11,Grass,0,Kanto,Route 25,False,False,False,,12,12,Rare
11,Grass,0,Kanto,Route 25,False,False,False,,12,12,Rare
11,Grass,0,Kanto,Viridian Forest,False,False,False,,7,7,Uncommon
11,Grass,0,Kanto,Viridian Forest,False,False,False,,7,7,Uncommon
11,Grass,0,Kanto,Viridian Forest,False,False,False,,7,7,Uncommon
11,Grass,0,Kanto,Viridian Forest,False,False,False,,7,7,Uncommon
11,Grass,2,Unova,Route 12,False,False,False,,48,49,Uncommon
11,Cave,4,Johto,Ilex Forest,True,True,False,,12,14,Uncommon
11,Grass,4,Johto,National Park,True,True,False,,16,18,Uncommon
11,Grass,4,Johto,Route 30,True,True,False,Season0,7,7,Uncommon
11,Grass,4,Johto,Route 30,True,True,False,Season1,7,7,Uncommon
11,Grass,4,Johto,Route 30,True,True,False,Season2,7,7,Uncommon
11,Grass,4,Johto,Route 30,True,True,False,Season3,7,7,Uncommon
11,Grass,4,Johto,Route 31,True,True,False,,7,7,Uncommon
12,Grass,0,Kanto,Pattern Bush,False,False,False,,50,52,Rare
12,Grass,0,Kanto,Route 2,False,False,False,,10,10,Lure
12,Grass,0,Kanto,Route 24,True,False,False,,12,14,Rare
12,Grass,0,Kanto,Route 25,True,True,False,,12,14,Rare
12,Grass,2,Unova,Pinwheel Forest,False,False,False,,17,19,Special
12,Dark Grass,2,Unova,Route 12,False,False,False,,53,54,Uncommon
12,Grass,2,Unova,Route 12,False,False,False,,60,65,Special
12,Headbutt,4,Johto,Azalea Town,False,False,False,,11,12,Uncommon
12,Headbutt,4,Johto,Azalea Town,False,False,False,,11,12,Uncommon
12,Headbutt,4,Johto,Azalea Town,False,False,False,,11,12,Uncommon
12,Headbutt,4,Johto,Azalea Town,False,False,False,,11,12,Uncommon
12,Headbutt,4,Johto,Ilex Forest,False,False,False,,12,14,Common
12,Headbutt,4,Johto,Route 34,False,False,False,,13,14,Uncommon
12,Headbutt,4,Johto,Route 34,False,False,False,,13,14,Uncommon
12,Headbutt,4,Johto,Route 34,False,False,False,,13,14,Uncommon
12,Headbutt,4,Johto,Route 34,False,False,False,,13,14,Uncommon
12,Headbutt,4,Johto,Safari Zone,False,False,False,,28,31,Uncommon
12,Headbutt,4,Johto,Safari Zone,False,False,False,,28,31,Uncommon
